name,pos,team,gsis_id
Tank Bigsby,RB,PHI,00-0038555
Jaylen Wright,RB,MIA,00-0039874
Audric Estimé,RB,NO,00-0039373
Jerome Ford,RB,CLE,00-0037267
Malik Davis,RB,DAL,00-0037563
Zavier Scott,RB,MIN,00-0038440
Ameer Abdullah,RB,IND,00-0032104
Hunter Luepke,RB,DAL,00-0038738
Tyler Badie,RB,DEN,00-0037085
Trey Benson,RB,ARI,00-0039921
James Conner,RB,ARI,00-0033553
Kendre Miller,RB,NO,00-0038551
Chris Brooks,RB,GB,00-0038685
Jaleel McLaughlin,RB,DEN,00-0038794
Jawhar Jordan,RB,HOU,00-0039405
Raheem Mostert,RB,LV,00-0031687
Miles Sanders,RB,DAL,00-0035243
Jaret Patterson,RB,LAC,00-0036755
LeQuint Allen Jr.,RB,JAX,00-0040238
Rasheen Ali,RB,BAL,00-0039796
Dare Ogunbowale,RB,HOU,00-0033854
Antonio Gibson,RB,NE,00-0036328
Andrew Beck,RB,NYJ,00-0034959
George Holani,RB,SEA,00-0039299
Jaydon Blue,RB,DAL,00-0040586
Raheim Sanders,RB,CLE,00-0040466
Will Shipley,RB,PHI,00-0039746
Trayveon Williams,RB,CLE,00-0035291
Adam Prentice,RB,DEN,00-0036727
Braelon Allen,RB,NYJ,00-0039794
Terrell Jennings,RB,NE,00-0039757
Trevor Etienne,RB,CAR,00-0040644
Austin Ekeler,RB,WAS,00-0033699
Puka Nacua,WR,LA,00-0039075
Jaxon Smith-Njigba,WR,SEA,00-0038543
Amon-Ra St. Brown,WR,DET,00-0036963
Ja'Marr Chase,WR,CIN,00-0036900
George Pickens,WR,DAL,00-0037247
Chris Olave,WR,NO,00-0037239
Zay Flowers,WR,BAL,00-0039064
Nico Collins,WR,HOU,00-0036554
Davante Adams,WR,LA,00-0031381
Michael Wilson,WR,ARI,00-0038559
A.J. Brown,WR,PHI,00-0035676
Jameson Williams,WR,DET,00-0037240
Courtland Sutton,WR,DEN,00-0034348
Wan'Dale Robinson,WR,NYG,00-0038117
Tetairoa McMillan,WR,CAR,00-0040124
Tee Higgins,WR,CIN,00-0036410
Stefon Diggs,WR,NE,00-0031588
Michael Pittman,WR,IND,00-0036252
Drake London,WR,ATL,00-0037238
DeVonta Smith,WR,PHI,00-0036912
Justin Jefferson,WR,MIN,00-0036322
CeeDee Lamb,WR,DAL,00-0036358
Emeka Egbuka,WR,TB,00-0040129
Jaylen Waddle,WR,MIA,00-0036613
Deebo Samuel Sr.,WR,WAS,00-0035719
DK Metcalf,WR,PIT,00-0035640
Parker Washington,WR,JAX,00-0038606
Alec Pierce,WR,IND,00-0037664
Keenan Allen,WR,LAC,00-0030279
Ladd McConkey,WR,LAC,00-0039915
Troy Franklin,WR,DEN,00-0039868
Jakobi Meyers,WR,JAX,00-0034960
Jauan Jennings,WR,SF,00-0036259
DJ Moore,WR,CHI,00-0034827
Quentin Johnston,WR,LAC,00-0038544
Khalil Shakir,WR,BUF,00-0037261
Romeo Doubs,WR,GB,00-0037816
Tre Tucker,WR,LV,00-0038563
Rashid Shaheed,WR,SEA,00-0037545
Rashee Rice,WR,KC,00-0039067
Rome Odunze,WR,CHI,00-0039919
Brian Thomas Jr.,WR,JAX,00-0039893
Josh Downs,WR,IND,00-0038997
Marquise Brown,WR,KC,00-0035662
Jordan Addison,WR,MIN,00-0038994
Christian Watson,WR,GB,00-0038124
Jayden Higgins,WR,HOU,00-0040130
Chimere Dike,WR,TEN,00-0040705
Luther Burden III,WR,CHI,00-0040735
Marvin Harrison Jr.,WR,ARI,00-0039849
Kayshon Boutte,WR,NE,00-0038608
Jerry Jeudy,WR,CLE,00-0036407
Malik Washington,WR,MIA,00-0039880
Elic Ayomanor,WR,TEN,00-0040170
Cooper Kupp,WR,SEA,00-0033908
Terry McLaurin,WR,WAS,00-0035659
Ryan Flournoy,WR,DAL,00-0039410
Mack Hollins,WR,NE,00-0033555
Xavier Worthy,WR,KC,00-0039894
Keon Coleman,WR,BUF,00-0039901
Jalen Nailor,WR,MIN,00-0037291
Garrett Wilson,WR,NYJ,00-0037740
Darius Slayton,WR,NYG,00-0035535
Xavier Hutchinson,WR,HOU,00-0038618
DeMario Douglas,WR,NE,00-0038621
Marvin Mims Jr.,WR,DEN,00-0038976
Tez Johnson,WR,TB,00-0040237
Kendrick Bourne,WR,SF,00-0033307
Jalen Coker,WR,CAR,00-0039491
Andrei Iosivas,WR,CIN,00-0038619
Xavier Legette,WR,CAR,00-0039342
Ricky Pearsall,WR,SF,00-0039916
Adonai Mitchell,WR,NYJ,00-0039890
Calvin Austin III,WR,PIT,00-0037837
Mike Evans,WR,TB,00-0031408
Olamide Zaccheaus,WR,CHI,00-0035208
KaVontae Turpin,WR,DAL,00-0037801
Chris Godwin Jr.,WR,TB,00-0033921
Darnell Mooney,WR,ATL,00-0036309
Sterling Shepard,WR,TB,00-0032385
Tyquan Thornton,WR,KC,00-0038104
Isaac TeSlaa,WR,DET,00-0040669
Dontayvion Wicks,WR,GB,00-0038393
Greg Dortch,WR,ARI,00-0035500
Pat Bryant,WR,DEN,00-0040134
JuJu Smith-Schuster,WR,KC,00-0033857
John Metchie III,WR,NYJ,00-0037614
Matthew Golden,WR,GB,00-0040667
Van Jefferson,WR,TEN,00-0036415
Tre Harris,WR,LAC,00-0040727
Jaylin Noel,WR,HOU,00-0040138
Tyler Lockett,WR,LV,00-0032211
DeAndre Hopkins,WR,BAL,00-0030564
Kalif Raymond,WR,DET,00-0032464
Devaughn Vele,WR,NO,00-0039424
Tory Horton,WR,SEA,00-0040648
Travis Hunter,WR,JAX,00-0040718
Isaiah Williams,WR,NYJ,00-0039451
Cedric Tillman,WR,CLE,00-0038979
Demarcus Robinson,WR,SF,00-0032775
Trey McBride,TE,ARI,00-0037744
Kyle Pitts,TE,ATL,00-0036970
Travis Kelce,TE,KC,00-0030506
Tyler Warren,TE,IND,00-0040128
Jake Ferguson,TE,DAL,00-0038041
Harold Fannin Jr.,TE,CLE,00-0040663
Dallas Goedert,TE,PHI,00-0034351
Juwan Johnson,TE,NO,00-0036040
Hunter Henry,TE,NE,00-0033090
Dalton Schultz,TE,HOU,00-0034383
Brock Bowers,TE,LV,00-0039338
Colston Loveland,TE,CHI,00-0040126
George Kittle,TE,SF,00-0033288
AJ Barner,TE,SEA,00-0039793
Oronde Gadsden II,TE,LAC,00-0040189
Mark Andrews,TE,BAL,00-0034753
Colby Parkinson,TE,LA,00-0036244
Theo Johnson,TE,NYG,00-0039847
Zach Ertz,TE,WAS,00-0030061
Dalton Kincaid,TE,BUF,00-0038933
Chig Okonkwo,TE,TEN,00-0037809
Cade Otton,TE,TB,00-0038129
Brenton Strange,TE,JAX,00-0038935
Tucker Kraft,TE,GB,00-0038996
Pat Freiermuth,TE,PIT,00-0036894
T.J. Hockenson,TE,MIN,00-0035229
Sam LaPorta,TE,DET,00-0039065
Dawson Knox,TE,BUF,00-0035689
Evan Engram,TE,DEN,00-0033881
Jake Tonges,TE,SF,00-0037112
Gunnar Helm,TE,TEN,00-0040584
Mason Taylor,TE,NYJ,00-0040736
Darren Waller,TE,MIA,00-0031610
David Njoku,TE,CLE,00-0033885
Jonnu Smith,TE,PIT,00-0033858
Cole Kmet,TE,CHI,00-0036290
Noah Fant,TE,CIN,00-0035644
Michael Mayer,TE,LV,00-0039066
Darnell Washington,TE,PIT,00-0038558
Tyler Higbee,TE,LA,00-0033110
Mike Gesicki,TE,CIN,00-0034829
Tommy Tremble,TE,CAR,00-0037005
