position,gsis_id,display_name,sleeper_id
RB,00-0036158,J.K. Dobbins,6806
RB,00-0036187,Reggie Gilliam,7204
RB,00-0036223,Jonathan Taylor,6813
RB,00-0036265,AJ Dillon,6828
RB,00-0036275,D'Andre Swift,6790
RB,00-0036297,Darrynton Evans,7064
RB,00-0036328,Antonio Gibson,6945
RB,00-0036360,Clyde Edwards-Helaire,6820
RB,00-0036414,Cam Akers,6938
RB,00-0036425,DeeJay Dallas,6931
RB,00-0036450,Ke'Shawn Vaughn,6885
RB,00-0036493,Deon Jackson,7551
RB,00-0036555,Chuba Hubbard,7594
RB,00-0036567,Elijah Mitchell,7561
RB,00-0036569,Gary Brightwell,7529
RB,00-0036654,Demetric Felton,7609
RB,00-0036670,Jermar Jefferson,7599
RB,00-0036727,Adam Prentice,8025
RB,00-0036755,Jaret Patterson,7537
RB,00-0036842,Kene Nwangwu,7720
RB,00-0036875,Rhamondre Stevenson,7611
RB,00-0036893,Najee Harris,7528
RB,00-0036906,Khalil Herbert,7608
RB,00-0036919,Kenneth Gainwell,7567
RB,00-0036924,Michael Carter,7607
RB,00-0036950,Avery Williams,7809
RB,00-0036973,Travis Etienne,7543
RB,00-0036984,Trey Sermon,7593
RB,00-0036997,Javonte Williams,7588
RB,00-0037085,Tyler Badie,8208
RB,00-0037120,Tyler Goodson,8207
RB,00-0037157,Bam Knight,8122
RB,00-0037197,Isiah Pacheco,8205
RB,00-0037228,Jaylen Warren,8228
RB,00-0037248,James Cook,8138
RB,00-0037256,Rachaad White,8136
RB,00-0037258,Dameon Pierce,8129
RB,00-0037263,Tyler Allgeier,8132
RB,00-0037267,Jerome Ford,8143
RB,00-0037276,Ty Chandler,8230
RB,00-0037286,Kevin Harris,8174
RB,00-0037299,Keaontay Ingram,8221
RB,00-0037410,Jashaun Corbin,8194
RB,00-0037509,Sincere McCormick,8220
RB,00-0037525,Jordan Mason,8408
RB,00-0037563,Malik Davis,8800
RB,00-0037594,Julius Chestnut,8254
RB,00-0037617,Hassan Haskins,8123
RB,00-0037745,Velus Jones Jr.,8223
RB,00-0037746,Brian Robinson,8154
RB,00-0037827,Tyrion Davis-Price,8211
RB,00-0037840,Kyren Williams,8150
RB,00-0038040,Zamir White,8139
RB,00-0038098,Pierre Strong,8116
RB,00-0038120,Breece Hall,8155
RB,00-0038134,Kenneth Walker III,8151
RB,00-0038389,Israel Abanikanda,9227
RB,00-0038396,Eric Gray,10223
RB,00-0038397,Evan Hull,9220
RB,00-0038454,Keaton Mitchell,9511
RB,00-0038518,Deneric Prince,10870
RB,00-0038542,Bijan Robinson,9509
RB,00-0038551,Kendre Miller,9757
RB,00-0038555,Tank Bigsby,9225
RB,00-0038597,Chase Brown,9224
RB,00-0038611,Chris Rodriguez Jr.,10219
RB,00-0038622,Deuce Vaughn,9505
RB,00-0038636,Kenny McIntosh,10216
RB,00-0038685,Chris Brooks,11370
RB,00-0038705,Emari Demercado,11199
RB,00-0038738,Hunter Luepke,11510
RB,00-0038794,Jaleel McLaughlin,11439
RB,00-0038797,Emanuel Wilson,11435
RB,00-0038951,Sean Tucker,9506
RB,00-0039021,Roschon Johnson,10235
RB,00-0039032,Tyjae Spears,9508
RB,00-0039040,De'Von Achane,9226
RB,00-0039139,Jahmyr Gibbs,9221
RB,00-0039165,Zach Charbonnet,9753
RB,00-0039299,George Holani,12048
RB,00-0039325,Carson Steele,11582
RB,00-0039344,Jonathon Brooks,11583
RB,00-0039361,Bucky Irving,11584
RB,00-0039363,Isaac Guerendo,11651
RB,00-0039364,Sione Vaki,11729
RB,00-0039373,Audric Estimé,11579
RB,00-0039384,Tyrone Tracy Jr.,11655
RB,00-0039391,Kimani Vidal,11647
RB,00-0039393,Jase McClellan,11590
RB,00-0039407,Dylan Laube,11574
RB,00-0039471,Frank Gore Jr.,11573
RB,00-0039573,Blake Watson,11568
RB,00-0039703,Cody Schrader,11644
RB,00-0039738,Blake Corum,11586
RB,00-0039746,Will Shipley,11577
RB,00-0039757,Terrell Jennings,12412
RB,00-0039794,Braelon Allen,11576
RB,00-0039796,Rasheen Ali,11570
RB,00-0039798,Isaiah Davis,11571
RB,00-0039811,MarShawn Lloyd,11581
RB,00-0039874,Jaylen Wright,11643
RB,00-0039875,Ray Davis,11575
RB,00-0039921,Trey Benson,11589
RB,00-0040028,Montrell Johnson Jr.,12868
RB,00-0040078,Brashard Smith,12455
RB,00-0040122,Ashton Jeanty,12527
RB,00-0040142,Kaleb Johnson,12504
RB,00-0040162,Dylan Sampson,12469
RB,00-0040177,Jordan James,12467
RB,00-0040179,DJ Giddens,12471
RB,00-0040198,Ollie Gordon II,12495
RB,00-0040202,Devin Neal,12476
RB,00-0040205,Kalel Mullings,12516
RB,00-0040208,Tahj Brooks,12543
RB,00-0040236,Kyle Monangai,12534
RB,00-0040238,LeQuint Allen Jr.,12544
RB,00-0040242,Jacory Croskey-Merritt,12533
WR,00-0030279,Keenan Allen,1479
WR,00-0030431,Robert Woods,1352
WR,00-0030564,DeAndre Hopkins,1426
WR,00-0030035,Adam Thielen,1689
WR,00-0031235,Odell Beckham Jr.,2078
WR,00-0031236,Brandin Cooks,2197
WR,00-0031381,Davante Adams,2133
WR,00-0031408,Mike Evans,2216
WR,00-0031544,Amari Cooper,2309
WR,00-0031588,Stefon Diggs,2449
TE,00-0031610,Darren Waller,2505
WR,00-0032208,Phillip Dorsett,2334
WR,00-0032211,Tyler Lockett,2374
WR,00-0031763,DeAndre Carter,2750
WR,00-0032385,Sterling Shepard,3200
WR,00-0032398,Chris Moore,3269
